Post.Label.IsStickyTopic,Tópico pegajoso
Badge.AuthorMarkAsSolution.Desc,Esse selo é concedido a um usuário quando ele marca a postagem de outro usuário como a solução para seu tópico
Topic.ShowMorePosts,Mostrar mais postagens
Buttons.ChangePassword,Mudar senha
Badge.PosterMarkAsSolution.Desc,Este emblema é concedido a um usuário quando sua postagem é marcada como a solução para um tópico
Google.Error.EnabledButNotAddedKeys,"Você ativou os logins sociais, mas não adicionou o ID do Google e a chave secreta no arquivo forum.config"
Favourites.NoMemberFavourites,Você não marcou nenhuma postagem
Report.Admin,Admin
Badge.YourPostFavouritedTenTimes.Name,Postagem Reconhecida
Members.Points,Pontos
PostFilter.Newest,O mais novo
Badge.OneThousandPoints.Name,Mil ponteiro
Members.ChangePassword.Link,Clique aqui se você quiser {0}
Members.Errors.InvalidQuestion,"A pergunta de recuperação de senha fornecida é inválida. Por favor, verifique o valor e tente novamente."
PM.Sent,Enviei:
TinyMCE.InsertImage.SelectFile,Por favor selecione um arquivo
PostEdit.None,Esta postagem não tem postagem de histórico de edição no momento
Members.Label.CurrentPassword,senha atual
Members.ProfileTitle, Perfil
Badge.Padawan.Desc,Teve 10 ou mais postagens marcadas com sucesso como uma resposta
Errors.NoPermission,Você não tem permissão para executar esta ação
Badge.OneThousandPoints.Desc,Este emblema é concedido aos usuários que receberam 1000 pontos
Badge.YourPostFavourited.Name,Post preferido
Topic.InCategory, em
Language.Change,Mudar idioma
Date.JustNow,Agora mesmo
Spam.FloodTestFailed,Você está postando muito rapidamente
PM.SendingToQuickly,Você está tentando enviar mensagens para
Badge.AuthorMarkAsSolution.Name,Sua pergunta resolvida
Badge.JediMaster.Desc,Teve 50 ou mais postagens marcadas com sucesso como uma resposta
Confirmation.DeleteMembersPosts,Você tem certeza? Isso excluirá todas as postagens e tópicos dos membros!
Post.VoteDown,Antipatia
SubscribedTopics.NothingToShow,Você não está seguindo para nenhum tópico
Report.ReportSent,Relatório enviado
Topic.Label.Tags,Adicionar etiqueta
PM.BackToInbox,De volta à caixa de entrada
PM.Subject,Sujeito
PM.Delete,Excluir
Members.BanUser,Banir usuário
Post.Quote,Citar
Members.LogOnMessage,Por favor insira seu nome de usuário e senha.
Editor.NeedHelp,Precisa de ajuda para formatação?
PM.LastActivity,ultima atividade
Moderate.Posts,Postagens
PM.OriginalMessage,mensagem original
Members.NowRegisteredNeedApproval,Você está agora registrado. Mas o administrador do fórum deve autorizar sua conta
Badge.JediMaster.Name,Mestre Jedi
Topic.CommentsDetails,Comentários
Members.MemberEmailAuthorisationNeeded,Enviámos-lhe um email de confirmação - clique no link de confirmação no seu email para aprovar a sua conta.
Post.label.TopicCategory,Categoria de tópico
Topic.Subscribe,Segue
Post.VotedDown,Não gostei
Leaderboard.ThisWeeksStars,Este semanas estrelas
Category.SubCategoriesHeading,Subcategorias em
Topic.IsPoll,Votação
Badges.PageTitle,Distintivos
Topic.TagThisTopic,Tag este tópico
Rss.Category.Title,{0} discussões
Post.Trusted,Confiável
PM.UnableFindMember,Não é possível encontrar esse membro
Post.MemberIsOnline,Conectados
Topic.Views,Views
Members.Errors.InvalidUserName,"O nome de usuário fornecido é inválido. Por favor, verifique o valor e tente novamente."
Activity.ProfileUpdated,tem um perfil atualizado
Category.CategoriesSideHeading,Categorias
Post.UploadFileTooBig,O upload de arquivos é muito grande
Badge.PostMentionsUmbraco.Desc,Este distintivo é atribuído a um usuário que menciona o Umbraco em sua última postagem
Topic.IsSticky,Tópico é pegajoso
PostEdit.Panel.Name,Publicar histórico de edição
Layout.Nav.Leaderboard,Entre os melhores
PM.NewPrivateMessageSubject,Nova mensagem privada
Errors.NoPermissionPolls,Tópico criado. Mas você não tem permissão para criar enquetes
Poll.Placeholder.TypeAnswerHere,Digite uma resposta de pesquisa aqui
Members.Label.Website,Local na rede Internet
Members.Errors.DuplicateEmail,"Um nome de usuário para esse endereço de e-mail já existe. Por favor, insira um endereço de e-mail diferente."
Post.Upload,Fazer upload de arquivos
Topic.IsSolved,Tópico resolvido
Members.NewMemberRegistered,Novo membro registrado em {0} ({1})
Members.Errors.PasswordIncorrect,O usuário ou senha fornecidos estão incorretos.
PM.TalkToSelf,Conversar com você mesmo é um pouco estranho. não é?
PM.Date,Encontro
Points.ThisWeeksHighEarners,Este vencedores semanas de alta
Members.Profile.Age,Era:
Activity.ActivityTitle,Atividade
Buttons.Report,Relatório
PostEdit.EditedBy,Editado por
Report.PostReported,Post reportado em
Date.DaysAgo,{0} dias atrás
Members.Label.UploadNewAvatar,Carregar uma nova imagem de perfil
Badges.UnableToAward,"Não é possível premiar os crachás, pois a coleção de crachás é nula para o usuário {0}"
Members.Label.Comment,Comente
Members.Errors.LogonGeneric,Incapaz de entrar.
Search.InTopic,No tópico
Badge.Padawan.Name,Padawan
Badge.UserVoteUp.Desc,Este crachá é concedido aos usuários depois que eles fazem seu primeiro voto
Members.DateJoined,Data de inscrição
Members.Profile.Badges,Distintivos
Members.Profile.Twitter,Twitter
Badge.FavouriteFirstPost.Name,Primeiro favorito
Post.Move.PostTitle,Mover Post
PM.AboutToExceedInboxSizeBody,Você está prestes a exceder sua permissão de caixa de entrada de mensagens privadas
Stats.LatestMembers,Membros mais recentes:
Members.Errors.Unknown,"Ocorreu um erro desconhecido. Por favor, verifique a sua entrada e tente novamente. Se o problema persistir, entre em contato com o administrador do sistema."
PM.ShowMore,Mostrar mais mensagens
PM.BlockedMessage,Não é possível enviar mensagem
Members.Profile.Points,Pontos:
Members.Label.Location,Localização
Leaderboard.ThisYearsStars,Este anos rock stars
Post.Move.Label.ReplyToPosts,Mover respostas e citações também
Post.DeleteConfirmation,Tem certeza de que deseja excluir?
Date.Yesterday,ontem
LogOn.LogOn,Logon
Members.MessageMe,Mensagem me
PM.SentItemsOverCapcity,Seus itens enviados estão acima da capacidade - exclua mensagens para poder enviar
Members.Label.DisableEmailNotifications,Desativar notificações por email
Stats.FooterMainStatText,Nossos {0} membros postaram {1} vezes em {2} discussões
PM.Read,Ler
Layout.Nav.Badges,Distintivos
Members.Label.RememberMe,Lembre de mim?
Members.Label.NewPassword,Nova senha
Search.Results,Resultados encontrados
Twitter.Error.EnabledButNotAddedKeys,"Você ativou os logins sociais, mas não adicionou o ID do Twitter e a chave secreta no forum.config"
Post.Move.Label.NewTopicTitle,Criar novo tópico
SubNav.Latest,Mais recentes
Members.Label.EmailAddressBlank,Insira o seu endereço de email
Post.Delete,Excluir
Post.Deleted,Postar excluído
Members.Label.Twitter,URL do Twitter
Moderate.NothingHere,Nada aqui no momento
Members.LogonMicrosoftButton,Faça o login com a Microsoft
Microsoft.Error.EnabledButNotAddedKeys,"Você ativou o login da Microsoft, mas não adicionou sua chave AppId ou Secret ao forum.config"
Error.EmailIsBanned,O endereço de e-mail ou domínio que você está tentando usar é banido
Topic.Deleted,Tópico excluído
PM.ShowMoreLoading,Carregando...
Activity.UserAwardedBadge,foi premiado com o
Post.OthersLiked,e {0} outros
Members.ResetPassword.Title,Pedido de redefinição de senha enviado
Category.MostRecent,Mais recente:
Buttons.Edit,Editar
Members.ForgotPassword.Email,Você solicitou que sua senha seja redefinida em {0}. Sua nova senha está abaixo
Post.VoteUp,Gostar
